episode_id,matched_constant_episode_id,family,attack_start,attack_end,duration_min,repetition_idx,rho_final,initial_reduction_pct,final_reduction_pct,mean_rho,rho_energy_equivalent,clean_energy_kwh,ramp_energy_kwh,hidden_energy_ramp_kwh,hidden_energy_ramp_pct,hidden_energy_constant_endpoint_kwh,hidden_energy_constant_equivalent_kwh,mean_reduction_kw,max_reduction_kw,ramp_max_attacked_score,ramp_max_clean_score,ramp_max_score_delta,ramp_induced_detected,ramp_n_affected_windows,ramp_first_alarm_timestamp,ramp_attack_start,ramp_attack_end,ramp_duration_min,ramp_detection_delay_min,ramp_detected_during_attack,ramp_detected_after_attack,ramp_threshold,ramp_distance_to_threshold,ramp_relative_distance_to_threshold,ramp_hidden_energy_kwh,ramp_hidden_energy_before_detection_kwh,ramp_hidden_energy_after_detection_kwh,ramp_hidden_energy_before_detection_pct,ramp_recoverable_hidden_energy_pct,endpoint_max_attacked_score,endpoint_max_clean_score,endpoint_max_score_delta,endpoint_induced_detected,endpoint_n_affected_windows,endpoint_first_alarm_timestamp,endpoint_attack_start,endpoint_attack_end,endpoint_duration_min,endpoint_detection_delay_min,endpoint_detected_during_attack,endpoint_detected_after_attack,endpoint_threshold,endpoint_distance_to_threshold,endpoint_relative_distance_to_threshold,endpoint_hidden_energy_kwh,endpoint_hidden_energy_before_detection_kwh,endpoint_hidden_energy_after_detection_kwh,endpoint_hidden_energy_before_detection_pct,endpoint_recoverable_hidden_energy_pct,equivalent_max_attacked_score,equivalent_max_clean_score,equivalent_max_score_delta,equivalent_induced_detected,equivalent_n_affected_windows,equivalent_first_alarm_timestamp,equivalent_attack_start,equivalent_attack_end,equivalent_duration_min,equivalent_detection_delay_min,equivalent_detected_during_attack,equivalent_detected_after_attack,equivalent_threshold,equivalent_distance_to_threshold,equivalent_relative_distance_to_threshold,equivalent_hidden_energy_kwh,equivalent_hidden_energy_before_detection_kwh,equivalent_hidden_energy_after_detection_kwh,equivalent_hidden_energy_before_detection_pct,equivalent_recoverable_hidden_energy_pct,n_ventanas_afectadas,pct_ventanas_delta_positivo,pct_ventanas_delta_no_positivo,media_score_delta,mediana_score_delta,suma_excesos_positivos,max_score_delta,racha_max_delta_positivo,racha_max_sobre_p75,racha_max_sobre_p80,racha_max_sobre_p90,racha_max_sobre_p95,pendiente_score,pendiente_score_delta,spearman_tiempo_score,spearman_progreso_score,timestamp_score_maximo,posicion_relativa_score_maximo,tiempo_hasta_p75_min,tiempo_hasta_p80_min,tiempo_hasta_p90_min,tiempo_hasta_p95_min,tiempo_hasta_umbral_puntual_min,grupo_temporal,grupo_temporal_descripcion
ramp_lineal__1440_0.30_37,continuous_timeline__01037,ramp_lineal,2008-12-21 01:40:00,2008-12-22 01:39:00,1440,37,0.3,0.04861111111110761,70.0,0.6497569444444445,0.6056535098538013,41.3063,25.017305574074076,16.288994425925925,39.434649014619865,28.914410000000004,16.288994425925925,0.6787081010802468,3.847001666666667,0.034258302,0.026619164,0.012678066,False,30,,2008-12-21 01:40:00,2008-12-22 01:39:00,1440,,,,0.041819351287775225,0.0075610504,0.18080266,16.288994425925925,16.288994425925925,0.0,100.0,0.0,0.068950504,0.026619164,0.04497627,True,30,2008-12-21 04:23:00,2008-12-21 01:40:00,2008-12-22 01:39:00,1440,163.0,True,False,0.041819351287775225,-0.027131151,-0.6487702,28.914409999999997,0.56098,28.353429999999996,1.940139881809797,98.05986011819019,0.027712584,0.026619164,0.0037172157,False,30,,2008-12-21 01:40:00,2008-12-22 01:39:00,1440,,,,0.041819351287775225,0.014106769,0.33732635,16.288994425925928,16.288994425925928,0.0,100.0,0.0,30,100.0,0.0,0.0025597061030566692,0.0008247368969023228,0.0767911821603775,0.01267806626856327,30,6,6,4,2,0.0002852163680552506,0.0003042994866829296,0.29699666295884314,0.29699666295884314,2008-12-22 03:23:00,0.8620689655172413,240.0,360.0,1440.0,1440.0,,D,"Tendencia creciente: >=3 ventanas evaluables, pendiente y correlacion positivas, y el score maximo cae en la 2a mitad del episodio."
ramp_lineal__1440_0.30_04,continuous_timeline__01004,ramp_lineal,2009-01-31 09:57:00,2009-02-01 09:56:00,1440,4,0.3,0.04861111111110761,70.0,0.6497569444444445,0.7164603313528505,56.97076666666667,40.81729436342593,16.15347230324074,28.353966864714955,39.87953666666667,16.15347230324074,0.6730613459683642,2.940729166666667,0.03509887,0.035696447,0.0113044465,False,30,,2009-01-31 09:57:00,2009-02-01 09:56:00,1440,,,,0.041819351287775225,0.0067204833,0.1607027,16.15347230324074,16.15347230324074,0.0,100.0,0.0,0.045502968,0.035696447,0.030184295,True,30,2009-02-01 08:23:00,2009-01-31 09:57:00,2009-02-01 09:56:00,1440,1346.0,True,False,0.041819351287775225,-0.0036836155,-0.08808399,39.87953666666667,38.46689,1.4126466666666673,96.45771544821525,3.542284551784747,0.034886133,0.035696447,0.0030967956,False,30,,2009-01-31 09:57:00,2009-02-01 09:56:00,1440,,,,0.041819351287775225,0.0069332197,0.16578974,16.15347230324074,16.15347230324074,0.0,100.0,0.0,30,56.666666666666664,43.333333333333336,0.0023042347747832537,0.00015568872913718224,0.07340851426124573,0.011304446496069431,14,6,5,4,2,0.00013675116959781028,0.00029827652414131487,0.20756395995550608,0.20756395995550608,2009-01-31 18:23:00,0.27586206896551724,360.0,360.0,420.0,420.0,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_21,continuous_timeline__01021,ramp_lineal,2009-01-10 22:54:00,2009-01-11 22:53:00,1440,21,0.3,0.04861111111110761,70.0,0.6497569444444445,0.5470530202730669,34.24503333333334,18.733848914351857,15.511184418981482,45.2946979726933,23.971523333333337,15.511184418981482,0.6462993507908951,3.9645083333333333,0.041184705,0.03829096,0.0030341335,False,30,,2009-01-10 22:54:00,2009-01-11 22:53:00,1440,,,,0.041819351287775225,0.0006346479,0.015175938,15.51118441898148,15.51118441898148,0.0,100.0,0.0,0.06340666,0.03829096,0.036823742,True,30,2009-01-11 02:23:00,2009-01-10 22:54:00,2009-01-11 22:53:00,1440,209.0,True,False,0.041819351287775225,-0.021587308,-0.5162038,23.971523333333334,2.399553333333334,21.57197,10.01001605098939,89.98998394901061,0.04320141,0.03829096,0.005533496,True,30,2009-01-11 13:23:00,2009-01-10 22:54:00,2009-01-11 22:53:00,1440,869.0,True,False,0.041819351287775225,-0.0013820566,-0.033048254,15.511184418981482,6.1040040881960955,9.407180330785387,39.3522759018096,60.6477240981904,30,93.33333333333333,6.666666666666667,0.0012473724782466888,0.001416957937180996,0.04176434129476547,0.0030341334640979767,20,17,11,7,5,-0.00023296048265940929,3.7789677535996945e-05,-0.3993325917686318,-0.3993325917686318,2009-01-11 13:23:00,0.4827586206896552,180.0,240.0,540.0,840.0,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_26,continuous_timeline__01026,ramp_lineal,2009-01-12 23:42:00,2009-01-13 23:41:00,1440,26,0.3,0.04861111111110761,70.0,0.6497569444444445,0.5819792479514437,36.02446666666666,20.96549201851852,15.05897464814814,41.80207520485562,25.217126666666662,15.05897464814814,0.6274572770061728,2.420546527777778,0.017228639,0.017024467,0.0040065814,False,30,,2009-01-12 23:42:00,2009-01-13 23:41:00,1440,,,,0.041819351287775225,0.024590714,0.58802235,15.058974648148148,15.058974648148148,0.0,100.0,0.0,0.045365307,0.017024467,0.033122785,True,30,2009-01-13 05:23:00,2009-01-12 23:42:00,2009-01-13 23:41:00,1440,341.0,True,False,0.041819351287775225,-0.0035459548,-0.0847922,25.217126666666665,1.8114833333333336,23.40564333333333,7.183543776729521,92.81645622327046,0.01975892,0.017024467,0.0040590484,False,30,,2009-01-12 23:42:00,2009-01-13 23:41:00,1440,,,,0.041819351287775225,0.022060433,0.5275173,15.058974648148148,15.058974648148148,0.0,100.0,0.0,30,100.0,0.0,0.0016821700846776366,0.0014831074513494968,0.05046510323882103,0.0040065813809633255,30,0,0,0,0,-9.903733549148567e-05,0.00010405626247437036,-0.385539488320356,-0.385539488320356,2009-01-13 08:23:00,0.27586206896551724,,,,,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_18,continuous_timeline__01018,ramp_lineal,2008-12-30 21:23:00,2008-12-31 21:22:00,1440,18,0.3,0.04861111111110761,70.0,0.6497569444444445,0.5255971228703402,31.402600000000007,16.505116210648147,14.89748378935186,47.44028771296598,21.981820000000006,14.89748378935186,0.6207284912229938,3.5741066666666668,0.02038516,0.020639786,0.009693538,False,30,,2008-12-30 21:23:00,2008-12-31 21:22:00,1440,,,,0.041819351287775225,0.021434193,0.5125424,14.897483789351849,14.897483789351849,0.0,100.0,0.0,0.082123496,0.020639786,0.06621264,True,30,2008-12-31 02:23:00,2008-12-30 21:23:00,2008-12-31 21:22:00,1440,300.0,True,False,0.041819351287775225,-0.040304143,-0.96376777,21.981820000000003,1.4467366666666666,20.535083333333336,6.58151448181573,93.41848551818427,0.027191559,0.020639786,0.0092423335,False,30,,2008-12-30 21:23:00,2008-12-31 21:22:00,1440,,,,0.041819351287775225,0.014627794,0.34978527,14.897483789351856,14.897483789351856,0.0,100.0,0.0,30,80.0,20.0,0.0020930760074406862,0.0010965922847390175,0.06726819276809692,0.009693537838757038,18,0,0,0,0,3.0844628570541027e-05,0.00024062506077568714,0.011790878754171301,0.011790878754171301,2008-12-31 09:23:00,0.41379310344827586,,,,,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_27,continuous_timeline__01027,ramp_lineal,2009-03-27 20:49:00,2009-03-28 20:48:00,1440,27,0.3,0.04861111111110761,70.0,0.6497569444444445,0.5740780090541091,34.79083333333333,19.972652333333333,14.818181,42.59219909458909,24.353583333333333,14.818181,0.6174242083333333,4.342609444444444,0.026165592,0.023270324,0.006574829,False,30,,2009-03-27 20:49:00,2009-03-28 20:48:00,1440,,,,0.041819351287775225,0.015653761,0.3743186,14.818181000000001,14.818181000000001,0.0,100.0,0.0,0.047570016,0.023270324,0.030524813,True,30,2009-03-28 04:23:00,2009-03-27 20:49:00,2009-03-28 20:48:00,1440,454.0,True,False,0.041819351287775225,-0.0057506636,-0.13751201,24.353583333333336,4.4974300000000005,19.856153333333335,18.467220771755013,81.53277922824498,0.024191203,0.023270324,0.0063416334,False,30,,2009-03-27 20:49:00,2009-03-28 20:48:00,1440,,,,0.041819351287775225,0.01762815,0.4215309,14.818181000000001,14.818181000000001,0.0,100.0,0.0,30,100.0,0.0,0.0024214456789195538,0.0019843378104269505,0.07264336943626404,0.006574829109013081,30,1,1,0,0,0.00029063408322077013,0.00014833505011606005,0.667630700778643,0.667630700778643,2009-03-29 02:23:00,1.0,1740.0,1740.0,,,,D,"Tendencia creciente: >=3 ventanas evaluables, pendiente y correlacion positivas, y el score maximo cae en la 2a mitad del episodio."
ramp_lineal__1440_0.50_20,continuous_timeline__01720,ramp_lineal,2009-01-17 00:54:00,2009-01-18 00:53:00,1440,20,0.5,0.03472222222222765,50.0,0.7498263888888889,0.7315989786478609,54.3507,39.7629166087963,14.5877833912037,26.840102135213897,27.17535,14.5877833912037,0.6078243079668211,2.760417361111111,0.021486897,0.022551203,0.0020296453,False,30,,2009-01-17 00:54:00,2009-01-18 00:53:00,1440,,,,0.041819351287775225,0.020332456,0.4861973,14.587783391203706,14.587783391203706,0.0,100.0,0.0,0.021635998,0.022551203,0.006621439,False,30,,2009-01-17 00:54:00,2009-01-18 00:53:00,1440,,,,0.041819351287775225,0.020183355,0.48263192,27.17535,27.17535,0.0,100.0,0.0,0.021791497,0.022551203,0.0013560965,False,30,,2009-01-17 00:54:00,2009-01-18 00:53:00,1440,,,,0.041819351287775225,0.020027855,0.47891358,14.587783391203706,14.587783391203706,0.0,100.0,0.0,30,73.33333333333333,26.666666666666668,0.0003077406727243215,0.0001495408359915018,0.01409126352518797,0.0020296452566981316,12,0,0,0,0,0.000163350797758683,4.830584758778701e-05,0.35261401557285876,0.35261401557285876,2009-01-17 17:23:00,0.5517241379310345,,,,,,D,"Tendencia creciente: >=3 ventanas evaluables, pendiente y correlacion positivas, y el score maximo cae en la 2a mitad del episodio."
ramp_lineal__1440_0.30_29,continuous_timeline__01029,ramp_lineal,2009-04-16 08:21:00,2009-04-17 08:20:00,1440,29,0.3,0.04861111111110761,70.0,0.6497569444444445,0.598825706907547,34.59656666666667,20.717313490740743,13.879253175925925,40.1174293092453,24.217596666666665,13.879253175925921,0.5783022156635801,4.679993888888889,0.029577268,0.028159507,0.011258882,False,30,,2009-04-16 08:21:00,2009-04-17 08:20:00,1440,,,,0.041819351287775225,0.012242084,0.2927373,13.879253175925923,13.879253175925923,0.0,100.0,0.0,0.04236913,0.028159507,0.017363278,True,30,2009-04-16 20:23:00,2009-04-16 08:21:00,2009-04-17 08:20:00,1440,722.0,True,False,0.041819351287775225,-0.00054977834,-0.013146506,24.217596666666665,8.950130000000001,15.267466666666664,36.95713543829495,63.04286456170506,0.026825907,0.028159507,0.0024975715,False,30,,2009-04-16 08:21:00,2009-04-17 08:20:00,1440,,,,0.041819351287775225,0.014993446,0.35852888,13.879253175925925,13.879253175925925,0.0,99.99999999999999,0.0,30,86.66666666666667,13.333333333333334,0.0029006758704781532,0.0014341874048113823,0.08721929788589478,0.011258881539106369,24,3,3,1,0,4.765445095081854e-05,0.0002443731263139026,0.15150166852057842,0.15150166852057842,2009-04-16 20:23:00,0.41379310344827586,720.0,720.0,720.0,,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_33,continuous_timeline__01033,ramp_lineal,2009-04-08 23:34:00,2009-04-09 23:33:00,1440,33,0.3,0.04861111111110761,70.0,0.6497569444444445,0.5798524608746384,31.49373333333334,18.261718775462963,13.232014557870375,42.014753912536165,22.045613333333343,13.232014557870379,0.5513339399112654,3.75389,0.03185932,0.024650754,0.0072085653,False,30,,2009-04-08 23:34:00,2009-04-09 23:33:00,1440,,,,0.041819351287775225,0.009960033,0.23816803,13.23201455787037,13.23201455787037,0.0,100.0,0.0,0.043595504,0.024650754,0.024176767,True,30,2009-04-09 06:23:00,2009-04-08 23:34:00,2009-04-09 23:33:00,1440,409.0,True,False,0.041819351287775225,-0.0017761514,-0.042471994,22.045613333333336,2.3500400000000004,19.695573333333336,10.65989847715736,89.34010152284264,0.029882113,0.024650754,0.005231358,False,30,,2009-04-08 23:34:00,2009-04-09 23:33:00,1440,,,,0.041819351287775225,0.01193724,0.28544775,13.232014557870372,13.232014557870372,0.0,99.99999999999999,0.0,30,90.0,10.0,0.0016856011934578419,0.0011875256896018982,0.051521845161914825,0.007208565250039101,18,4,1,1,0,0.00014024620929585778,0.00011349976222311562,0.17285873192436038,0.17285873192436038,2009-04-09 20:23:00,0.6896551724137931,1080.0,1080.0,1200.0,,,D,"Tendencia creciente: >=3 ventanas evaluables, pendiente y correlacion positivas, y el score maximo cae en la 2a mitad del episodio."
ramp_lineal__1440_0.30_42,continuous_timeline__01042,ramp_lineal,2009-05-15 20:40:00,2009-05-16 20:39:00,1440,42,0.3,0.04861111111110761,70.0,0.6497569444444445,0.5692274603865712,30.010866666666665,17.083009416666666,12.927857249999999,43.07725396134289,21.007606666666664,12.927857249999992,0.53866071875,3.612,0.03217863,0.028768776,0.011211974,False,30,,2009-05-15 20:40:00,2009-05-16 20:39:00,1440,,,,0.041819351287775225,0.0096407235,0.23053259,12.927857249999999,12.927857249999999,0.0,100.0,0.0,0.12173625,0.028768776,0.09296747,True,30,2009-05-16 02:23:00,2009-05-15 20:40:00,2009-05-16 20:39:00,1440,343.0,True,False,0.041819351287775225,-0.079916894,-1.9110026,21.007606666666668,2.871656666666667,18.13595,13.669604121173887,86.33039587882611,0.040942214,0.028768776,0.012173438,False,30,,2009-05-15 20:40:00,2009-05-16 20:39:00,1440,,,,0.041819351287775225,0.0008771382,0.020974457,12.927857249999995,12.927857249999995,0.0,100.0,0.0,30,100.0,0.0,0.003120940877124667,0.0023671183735132217,0.09362822771072388,0.011211973614990711,30,8,7,2,0,-0.0001330719535571589,0.0002522019537847419,-0.21913236929922134,-0.21913236929922134,2009-05-16 08:23:00,0.3793103448275862,360.0,420.0,660.0,,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_34,continuous_timeline__01034,ramp_lineal,2009-01-08 22:42:00,2009-01-09 22:41:00,1440,34,0.3,0.04861111111110761,70.0,0.6497569444444445,0.5669444502729676,29.78646666666667,16.88727196990741,12.89919469675926,43.305554972703234,20.85052666666667,12.899194696759263,0.5374664456983024,3.1113347222222223,0.021776533,0.019079113,0.0040273406,False,30,,2009-01-08 22:42:00,2009-01-09 22:41:00,1440,,,,0.041819351287775225,0.02004282,0.4792714,12.899194696759258,12.899194696759258,0.0,100.0,0.0,0.0430598,0.019079113,0.026217468,True,30,2009-01-09 07:23:00,2009-01-08 22:42:00,2009-01-09 22:41:00,1440,521.0,True,False,0.041819351287775225,-0.0012404472,-0.029662037,20.850526666666667,4.389373333333334,16.461153333333332,21.051618520267596,78.9483814797324,0.021190815,0.019079113,0.0033061747,False,30,,2009-01-08 22:42:00,2009-01-09 22:41:00,1440,,,,0.041819351287775225,0.020628538,0.4932773,12.89919469675926,12.89919469675926,0.0,100.0,0.0,30,50.0,50.0,0.0006280923262238503,2.3012980818748474e-06,0.02927766554057598,0.0040273405611515045,12,0,0,0,0,3.840796052746523e-05,0.00012653886451405603,0.10211345939933258,0.10211345939933258,2009-01-09 17:23:00,0.6206896551724138,,,,,,D,"Tendencia creciente: >=3 ventanas evaluables, pendiente y correlacion positivas, y el score maximo cae en la 2a mitad del episodio."
ramp_lineal__1440_0.30_11,continuous_timeline__01011,ramp_lineal,2009-10-02 21:04:00,2009-10-03 21:03:00,1440,11,0.3,0.04861111111110761,70.0,0.6497569444444445,0.5409562086762102,27.55956666666667,14.908518696759261,12.651047969907408,45.904379132378985,19.29169666666667,12.651047969907408,0.5271269987461419,3.317552777777778,0.039071184,0.034513697,0.0057387026,False,30,,2009-10-02 21:04:00,2009-10-03 21:03:00,1440,,,,0.041819351287775225,0.002748169,0.065715246,12.651047969907406,12.651047969907406,0.0,100.0,0.0,0.11885088,0.034513697,0.09222654,True,30,2009-10-02 23:23:00,2009-10-02 21:04:00,2009-10-03 21:03:00,1440,139.0,True,False,0.041819351287775225,-0.07703152,-1.8420066,19.291696666666667,0.8018966666666667,18.4898,4.156693320044945,95.84330667995505,0.04377738,0.034513697,0.017153045,True,30,2009-10-03 04:23:00,2009-10-02 21:04:00,2009-10-03 21:03:00,1440,439.0,True,False,0.041819351287775225,-0.0019580275,-0.046821084,12.651047969907406,1.1617633285419582,11.489284641365447,9.183139067256743,90.81686093274325,30,90.0,10.0,0.002331308089196682,0.0022954707965254784,0.07050096988677979,0.005738702602684498,25,9,9,6,4,-0.00017967228554976563,0.00015652938222759162,-0.31657397107897667,-0.31657397107897667,2009-10-03 15:23:00,0.6206896551724138,0.0,0.0,420.0,960.0,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_41,continuous_timeline__01041,ramp_lineal,2009-10-23 12:13:00,2009-10-24 12:12:00,1440,41,0.3,0.04861111111110761,70.0,0.6497569444444445,0.6479968503746364,35.03003333333333,22.69935126851852,12.330682064814809,35.20031496253637,24.52102333333333,12.330682064814802,0.5137784193672839,3.414522222222222,0.039633144,0.040041663,0.010536581,False,30,,2009-10-23 12:13:00,2009-10-24 12:12:00,1440,,,,0.041819351287775225,0.002186209,0.052277446,12.330682064814814,12.330682064814814,0.0,100.0,0.0,0.06321497,0.040041663,0.04332319,True,30,2009-10-23 16:23:00,2009-10-23 12:13:00,2009-10-24 12:12:00,1440,250.0,True,False,0.041819351287775225,-0.02139562,-0.51162004,24.521023333333332,5.058106666666666,19.462916666666665,20.62763285980316,79.37236714019684,0.03945323,0.040041663,0.0045546126,False,30,,2009-10-23 12:13:00,2009-10-24 12:12:00,1440,,,,0.041819351287775225,0.0023661219,0.05657959,12.330682064814807,12.330682064814807,0.0,100.0,0.0,30,83.33333333333334,16.666666666666664,0.0027759030926972628,0.0009998148307204247,0.0846807211637497,0.01053658127784729,21,6,6,6,4,0.00013808624568220173,0.0002648571885301752,0.207119021134594,0.207119021134594,2009-10-23 18:23:00,0.20689655172413793,180.0,180.0,180.0,240.0,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_43,continuous_timeline__01043,ramp_lineal,2009-04-30 05:28:00,2009-05-01 05:27:00,1440,43,0.3,0.04861111111110761,70.0,0.6497569444444445,0.6504586111307051,34.02426666666666,22.131377240740743,11.892889425925919,34.954138886929485,23.816986666666665,11.892889425925919,0.49553705941358017,2.181684166666667,0.03432708,0.021771222,0.023364615,False,30,,2009-04-30 05:28:00,2009-05-01 05:27:00,1440,,,,0.041819351287775225,0.007492274,0.17915806,11.892889425925924,11.892889425925924,0.0,99.99999999999999,0.0,0.03325019,0.021771222,0.018638536,False,30,,2009-04-30 05:28:00,2009-05-01 05:27:00,1440,,,,0.041819351287775225,0.008569162,0.20490901,23.81698666666667,23.81698666666667,0.0,99.99999999999999,0.0,0.022684261,0.021771222,0.002359339,False,30,,2009-04-30 05:28:00,2009-05-01 05:27:00,1440,,,,0.041819351287775225,0.019135091,0.45756546,11.892889425925919,11.892889425925919,0.0,100.0,0.0,30,100.0,0.0,0.005154936108738184,0.0012508714571595192,0.1546480804681778,0.023364614695310593,30,6,5,5,1,0.0005256924788582575,0.0005594935705336237,0.5381535038932147,0.5381535038932147,2009-05-01 07:23:00,0.8620689655172413,1380.0,1380.0,1380.0,1500.0,,D,"Tendencia creciente: >=3 ventanas evaluables, pendiente y correlacion positivas, y el score maximo cae en la 2a mitad del episodio."
ramp_lineal__1440_0.30_49,continuous_timeline__01049,ramp_lineal,2009-01-28 06:51:00,2009-01-29 06:50:00,1440,49,0.3,0.04861111111110761,70.0,0.6497569444444445,0.7277819013010789,42.58090000000001,30.989608361111113,11.591291638888894,27.22180986989212,29.806630000000006,11.591291638888901,0.4829704849537036,3.1897599999999997,0.033918276,0.022679549,0.013791988,False,30,,2009-01-28 06:51:00,2009-01-29 06:50:00,1440,,,,0.041819351287775225,0.007901076,0.18893349,11.591291638888887,11.591291638888887,0.0,99.99999999999999,0.0,0.06966487,0.022679549,0.048104793,True,30,2009-01-29 02:23:00,2009-01-28 06:51:00,2009-01-29 06:50:00,1440,1172.0,True,False,0.041819351287775225,-0.02784552,-0.6658525,29.806630000000002,28.20815666666667,1.598473333333331,94.6371886612699,5.362811338730111,0.021951254,0.022679549,0.00094289426,False,30,,2009-01-28 06:51:00,2009-01-29 06:50:00,1440,,,,0.041819351287775225,0.019868098,0.4750934,11.59129163888889,11.59129163888889,0.0,100.0,0.0,30,80.0,20.0,0.003264057682827115,0.00029602739959955215,0.0987820103764534,0.013791987672448158,14,7,7,5,2,0.0005053898155921291,0.000386478212890987,0.52880978865406,0.52880978865406,2009-01-29 06:23:00,0.7931034482758621,1200.0,1200.0,1260.0,1380.0,,D,"Tendencia creciente: >=3 ventanas evaluables, pendiente y correlacion positivas, y el score maximo cae en la 2a mitad del episodio."
ramp_lineal__0720_0.30_24,continuous_timeline__00974,ramp_lineal,2009-02-07 15:26:00,2009-02-08 03:25:00,720,24,0.3,0.09722222222222632,70.0,0.649513888888889,0.6815441922734248,35.76276666666667,24.373905921296295,11.388860745370376,31.845580772657524,25.03393666666667,11.38886074537038,0.949071728780864,3.206058333333333,0.021207007,0.021182608,0.005547285,False,18,,2009-02-07 15:26:00,2009-02-08 03:25:00,720,,,,0.041819351287775225,0.020612346,0.49289012,11.38886074537037,11.38886074537037,0.0,100.0,0.0,0.022930346,0.021182608,0.0042019356,False,18,,2009-02-07 15:26:00,2009-02-08 03:25:00,720,,,,0.041819351287775225,0.018889006,0.451681,25.033936666666666,25.033936666666666,0.0,99.99999999999999,0.0,0.0214953,0.021182608,0.0006438419,False,18,,2009-02-07 15:26:00,2009-02-08 03:25:00,720,,,,0.041819351287775225,0.020324053,0.48599637,11.388860745370375,11.388860745370375,0.0,100.0,0.0,18,61.111111111111114,38.88888888888889,0.001558992313221097,2.717645838856697e-05,0.028653746470808983,0.005547285079956055,9,0,0,0,0,-6.083989183354036e-05,0.00027692108775486144,-0.11042311661506708,-0.11042311661506708,2009-02-07 17:23:00,0.058823529411764705,,,,,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_25,continuous_timeline__01025,ramp_lineal,2009-01-04 22:50:00,2009-01-05 22:49:00,1440,25,0.3,0.04861111111110761,70.0,0.6497569444444445,0.57525072102013,26.772766666666666,15.401053328703703,11.371713337962962,42.474927897986994,18.740936666666663,11.371713337962964,0.47382138908179006,3.4731472222222224,0.018279716,0.0181751,0.0034568692,False,30,,2009-01-04 22:50:00,2009-01-05 22:49:00,1440,,,,0.041819351287775225,0.023539636,0.56288856,11.371713337962962,11.371713337962962,0.0,100.0,0.0,0.03728656,0.0181751,0.022607211,False,30,,2009-01-04 22:50:00,2009-01-05 22:49:00,1440,,,,0.041819351287775225,0.0045327917,0.10838981,18.740936666666666,18.740936666666666,0.0,100.0,0.0,0.01754683,0.0181751,0.003293151,False,30,,2009-01-04 22:50:00,2009-01-05 22:49:00,1440,,,,0.041819351287775225,0.024272522,0.58041364,11.371713337962964,11.371713337962964,0.0,100.00000000000001,0.0,30,76.66666666666667,23.333333333333332,0.0007294563110917807,0.0005937323439866304,0.025123417377471924,0.003456869162619114,20,0,0,0,0,-3.647508909791184e-05,8.421881835041643e-05,-0.19866518353726362,-0.19866518353726362,2009-01-05 01:23:00,0.06896551724137931,,,,,,C,"Respuesta persistente: racha maxima >= 2 ventanas, sin tendencia creciente clara."
ramp_lineal__1440_0.30_17,continuous_timeline__01017,ramp_lineal,2009-06-13 14:13:00,2009-06-14 14:12:00,1440,17,0.3,0.04861111111110761,70.0,0.6497569444444445,0.6108757507255431,28.57565880217786,17.456177023257375,11.119481778920484,38.91242492744568,20.002961161524503,11.119481778920484,0.46331174078835335,1.1110278886872351,0.027160963,0.016592339,0.026924215,False,30,,2009-06-13 14:13:00,2009-06-14 14:12:00,1440,,,,0.041819351287775225,0.01465839,0.3505169,11.11948177892048,11.11948177892048,0.0,100.0,0.0,0.017374257,0.016592339,0.014363912,False,30,,2009-06-13 14:13:00,2009-06-14 14:12:00,1440,,,,0.041819351287775225,0.024445096,0.5845403,20.002961161524503,20.002961161524503,0.0,100.0,0.0,0.031642478,0.016592339,0.029472781,False,30,,2009-06-13 14:13:00,2009-06-14 14:12:00,1440,,,,0.041819351287775225,0.010176875,0.24335323,11.119481778920484,11.119481778920484,0.0,99.99999999999999,0.0,30,96.66666666666667,3.3333333333333335,0.010737331584095955,0.008685048669576645,0.3221209645271301,0.026924215257167816,29,2,2,0,0,0.0003147325767525309,0.0006452513242283375,0.4353726362625139,0.4353726362625139,2009-06-14 14:23:00,0.8275862068965517,1380.0,1380.0,,,,D,"Tendencia creciente: >=3 ventanas evaluables, pendiente y correlacion positivas, y el score maximo cae en la 2a mitad del episodio."
